77003, CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, MD7,525071504114119, CARVEDILOL, CARVEDILOL, 25 MG COM CT BL AL/AL X 30, MD7
66101, CEFACLOR, CEFACLOR, CAPS 500 MG x 10, GM2,526120302115111, CEFACLOR, CEFACLOR, 500 MG CAP GEL DURA CT BL AL PLAS LEIT X 10, GM2
68307, TOPIRAMATO, TOPIRAMATO, CPR REVEST 50 MG x 60, E3S,507735003113111, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
58142, PREDSIM, NOT FOUND, CPR 5 MG x 10, MQF,512403602111416, PREDSIM, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 10, MQF
76647, CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, GM2,526130901119111, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS OPC X 30, GM2
73469, DIELOFT, NOT FOUND, CPR REVEST 100 MG x 20, MD7,525069407115414, DIELOFT, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, MD7
68719, ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 4, GM2,526122302112119, ALENDRONATO SODIO, ALENDRONATO SODIO TRI-HIDRATADO, 70 MG COM CT BL AL PLAS LEIT X 4, GM2
82089, ROSUVASTATI CAL, NOT FOUND, CPR REVEST 10 MG x 30, E3S,507745103110111, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, E3S
70876, NIMODIPINO, NIMODIPINO, CPR REVEST 30 MG x 30, E3S,507735601118115, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 30, E3S
68956, CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, N_Q,519023606110111, CAPTOPRIL, CAPTOPRIL, 25 MG COM CX BL AL PLAS INC X 30, N_Q
75923, CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, LG6,538814901114118, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL/AL X 20, LG6
53312, ASMAPEN, NOT FOUND, CPR 100 MG x 20, N_Q,519000701117410, ASMAPEN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, N_Q
68591, TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, MD7,525067401111119, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
78368, LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, MD7,525072402110112, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS OPC X 30, MD7
71365, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14, MD7,525067205116111, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, MD7
50354, LUPAREN, NOT FOUND, DRAG 50 MG x 20, LR3,524304902119411, LUPAREN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, LR3
67362, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, BF8,504611002110117, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BF8
76492, CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 30, LG6,538800602111117, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30, LG6
69600, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, E3S,507734403118110, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS LEIT X 28, E3S
113407, FUM QUETIAPINA, NOT FOUND, CPR REVEST 25 MG x 30, E3S,507745004112114, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, E3S
68501, PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, FAS,508708402116110, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 20, FAS
66432, FINASTERIDA, FINASTERIDA, CPR REVEST 5 MG x 30, MD7,525065402119117, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 30, MD7
78692, ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, LG6,538805602118112, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, LG6
86222, OLANZAPINA, OLANZAPINA, CPR REVEST 10 MG x 30, SDZ,511518103118112, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT FR PLAS OPC X 30, SDZ
75464, MELOXICAM, MELOXICAM, CPR 15 MG x 10, N_Q,519027901117114, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, N_Q
72992, CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 60, MD7,525065703119116, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS INC X 60, MD7
58144, PREDSIM, NOT FOUND, CPR 20 MG x 10, MQF,512403601113415, PREDSIM, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, MQF
54864, GLIONIL, NOT FOUND, CPR 5 MG x 30, N_Q,519005201112410, GLIONIL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, N_Q
74302, SINVASTATINA, SINVASTATINA, CPR REVEST 20 MG x 60, SDZ,511508608111118, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 60, SDZ
70271, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, LG6,538817704115116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 28, LG6
76019, CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, MD7,525070701110118, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS INC X 30, MD7
73451, PROCSIM, NOT FOUND, CPR 250 MG x 6, MQF,512406401115419, PROCSIM, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 6, MQF
78270, ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, E3S,507743401114117, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 10 MG COM REV CT BL AL AL X 30, E3S
52132, MONOZOL, NOT FOUND, CPR CEREJA 400 MG x 1, LG6,538818002114411, MONOZOL, NOT FOUND, 400 MG COM MAST CT BL AL PVDC BRANCO LEITOSO X 1, LG6
76509, LUFISAN, NOT FOUND, CPR 40 MG x 20, SDZ,511515801116412, LUFISAN, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, SDZ
54895, NEO FEDIPINA, NOT FOUND, CPR 10 MG x 30, N_Q,519008901115417, NEO FEDIPINA, NOT FOUND, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
66761, NORFLOXACINO, NORFLOXACINO, CPR 400 MG x 14, GM2,526114101111114, NORFLOXACINO, NORFLOXACINO, 400 MG COM REVES CT FR PLAS OPC X 14, GM2
77052, CIZAX, NOT FOUND, CPR 10 MG x 4, MQF,512405505111411, CIZAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 4, MQF
66688, CLOR CLOMIPRAMI, CLORIDRATO CLOMIPRAMINA, CPR 10 MG x 20, GM2,526113301117118, CLORIDRATO CLOMIPRAMINA, CLORIDRATO CLOMIPRAMINA, 10 MG COM REVES CT BL AL PLAS INC X 20, GM2
79148, LIPIGRAN, NOT FOUND, CPR REVEST 40 MG x 60, LG6,538805206115412, LIPIGRAND, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60, LG6
66700, CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, GM2,526118601119117, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REVES CT BL AL PLAS BCO LEIT X 30, GM2
75911, RAZAPINA, NOT FOUND, CPR REVEST 30 MG x 28, SDZ,511515603111414, RAZAPINA, NOT FOUND, 30 MG COM REV CT BL AL/PLAS INC X 28, SDZ
78002, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, SDZ,511516705110113, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM CT BL AL PLAS INC X 4, SDZ
48951, BENEVRAN, NOT FOUND, DRAG 50 MG x 20, LG6,538816701112411, BENEVRAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, LG6
62605, PREVYOL 2, NOT FOUND, CPR 0.75 MG x 2, LG6,538811001112416, PREVYOL 2, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, LG6
69554, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 100 MG x 14, GM2,526125401111115, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 100 MG COM REV CT BL AL PLAS LEIT X 14, GM2
69561, TOPIRAMATO, TOPIRAMATO, CPR REVEST 25 MG x 60, GM2,526125902110111, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, GM2
77009, CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, MD7,525071506117115, CARVEDILOL, CARVEDILOL, 6.25 MG COM CT BL AL/AL X 15, MD7
76914, RISEDRONATO SOD, RISEDRONATO SODICO, CPR REVEST 35 MG x 2, E3S,507741602112417, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
72790, CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, N_Q,519021403115110, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, N_Q
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, BF8,504610701112110, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, BF8
70618, PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, E3S,507720103117119, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV LIB PROL CT BL AL PLAS INC X 30, E3S
79592, VALSARTANA, VALSARTANA, CPR REVEST 160 MG x 30, MD7,525073103117113, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 30, MD7
71446, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 10 MG x 28, E3S,507714007111119, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 28, E3S
60519, SINVASTATINA, SINVASTATINA, CPR REVEST 10 MG x 10, SDZ,511508607113117, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, SDZ
78242, VIDENFIL, NOT FOUND, CPR 25 MG x 4, SDZ,511517001117410, VIDENFIL, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 4, SDZ
68183, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, LG6,538814801111117, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS OPC X 28, LG6
53352, NEO DOXICILIN, NOT FOUND, DRAG 100 MG x 15, N_Q,519008701116411, NEO DOXICILIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, N_Q
72123, LORSACOR, NOT FOUND, CPR REVEST 50 MG x 60, SDZ,511506003113417, LORSACOR, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 60, SDZ
64739, SECNIDAZOL, SECNIDAZOL, CPR 1 G x 2, N_Q,519021601111111, SECNIDAZOL, SECNIDAZOL, 1 G COM CT BL AL PLAST INC X 2, N_Q
76468, CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 14, E3S,507739301119119, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14, E3S
64156, AMOXICILINA, AMOXICILINA, CPR REVEST 875 MG x 14, E3S,507701807112118, AMOXICILINA, AMOXICILINA, 875 MG COM REVES CT BL AL X 14, E3S
68767, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 60, GM2,526114004116115, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 60, GM2
83738, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 2, MD7,525074103110117, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 2, MD7
70614, NIMODIPINO, NIMODIPINO, CPR REVEST 30 MG x 30, GM2,526126001117114, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 30, GM2
78671, BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, E3S,507733103110116, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20, E3S
78697, DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 60, LG6,538805301118113, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS OPC X 60, LG6
69726, ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 30, E3S,507727804110118, ALPRAZOLAM, ALPRAZOLAM, 0.25 MG COM CT BL AL PLAS INC X 30, E3S
76817, DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 100 MG x 20, LG6,538800701118111, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COM REV DESINT LENTA BL AL PLAS INC X 20, LG6
82092, ROSUVASTATI CAL, NOT FOUND, CPR REVEST 20 MG x 30, E3S,507745101118113, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, E3S
61100, LISINOPRIL, LISINOPRIL, CPR 5 MG x 30, MD7,525007306110115, LISINOPRIL, LISINOPRIL, 5 MG COM CT BL AL PLAST INC X 30, MD7
79054, ATORVASTATINA, ATORVASTATINA, CPR REVEST 80 MG x 30, GM2,526133201118117, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 80 MG COM REV CT BL AL AL X 30, GM2
77078, RISEDRONATO SOD, RISEDRONATO SODICO, CPR REVEST 35 MG x 4, LG6,538804501113117, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, LG6
75882, CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 50 MG x 30, MD7,525070803118118, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 50 MG CAP GEL DURA CT BL AL PLAS INC X 30, MD7
79585, OLANZAPINA, OLANZAPINA, CPR REVEST 10 MG x 28, E3S,507744101114111, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL AL X 28, E3S
46658, FUROSEM, NOT FOUND, CPR 40 MG x 20, MD7,525006501114411, FUROSEM, NOT FOUND, 40 MG COM CT BL AL PLAS AMB X 20, MD7
76564, PREDNISONA, PREDNISONA, CPR 20 MG x 30, MD7,525071303119113, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 30, MD7
68955, CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, N_Q,519023609111117, CAPTOPRIL, CAPTOPRIL, 50 MG COM CX BL AL PLAS INC X 30, N_Q
54549, NEOSAC, NOT FOUND, CPR 300 MG x 20, N_Q,519012602119419, NEOSAC, NOT FOUND, 300 MG COM REV CT BL AL PLAS AMB X 20, N_Q
64244, CEFACLOR, CEFACLOR, CAPS 500 MG x 10, MD7,525065302114113, CEFACLOR, CEFACLOR, 500 MG CAP CT BL AL PLAS INC X 10, MD7
74197, TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, GM2,526128301118112, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4, GM2
65368, LIPOCLIN, NOT FOUND, CPR 20 MG x 30, N_Q,519019901111417, LIPOCLIN, NOT FOUND, 20 MG COM CT FR PLAS OPC X 30, N_Q
78848, BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, GM2,526120203117116, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20, GM2
51356, ENERGIL C EFERVESC, NOT FOUND, CPR EFER 2 G x 10, E3S,507712304133412, ENERGIL C, NOT FOUND, 2 G COMP EFERV C/10, E3S
79621, CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 37.5 MG x 30, MD7,525068506111117, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30, MD7
63925, ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 30, SDZ,511510903115112, ALPRAZOLAM, ALPRAZOLAM, 2 MG COM CT FR VD AMB X 30, SDZ
66760, NITRAZEPAM, NITRAZEPAM, CPR 5 MG x 20, GM2,526116701116113, NITRAZEPAM, NITRAZEPAM, 5 MG COM CTBL AL PLAS BCO LEIT X 20, GM2
71603, ATENOLOL, ATENOLOL, CPR 50 MG x 60, SDZ,511500706112113, ATENOLOL, ATENOLOL, 50 MG COM REV CT BL AL PLAS INC X 60, SDZ
59181, CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 10 MG x 30, SDZ,511502101110118, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 10 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
71821, CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 30, MD7,525068504117118, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 150 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30, MD7
70269, CEFANID, NOT FOUND, CPR 500 MG x 8, N_Q,519030301117415, CEFANID, NOT FOUND, 500 MG COM CT ENV AL X 8, N_Q
80411, OLANZAPINA, OLANZAPINA, CPR REVEST 5 MG x 28, GM2,526134101117117, OLANZAPINA, OLANZAPINA, 5 MG COM REV CT BL AL / AL X 28, GM2
73810, CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 20, E3S,507737701111119, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 20, E3S
78694, ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 30, LG6,538805604110119, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL/AL X 30, LG6
63924, ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 20, SDZ,511510902119114, ALPRAZOLAM, ALPRAZOLAM, 1 MG COM CT BL AL PLAS INC X 20, SDZ
73717, BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, SDZ,511514003119114, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, SDZ
57838, AMOXINA, NOT FOUND, CAPS 500 MG x 12, SDZ,511500503114413, AMOXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 12, SDZ
57257, ENAPROTEC, NOT FOUND, CPR 5 MG x 30, SDZ,511503606119412, ENAPROTEC, NOT FOUND, 5 MG COM CT BL AL/AL X 30, SDZ
137559, AH ZUL, NOT FOUND, CPR REVEST 50 MG x 12, LG6,538806305117411, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 12, LG6
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10, BF8,504600702116112, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 10, BF8
63654, DIMETICONA, DIMETICONA, CPR 40 MG x 20, E3S,507710501111113, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, E3S
76654, DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 10, GM2,526132101111112, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, GM2
82906, PLAQUEVIX, NOT FOUND, CPR REV . 75 MG x 14, E3S,507745201112419, PLAQUEVIX, NOT FOUND, 75 MG COM REV CT BL AL AL X 14, E3S
71366, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, MD7,525067206112111, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, MD7
73883, CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 20, GM2,526127802113115, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 20, GM2
66973, CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 20, MD7,525066802110115, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM REV CT BL AL PLAS INC X 20, MD7
62026, LISINOPRIL, LISINOPRIL, CPR 10 MG x 30, SDZ,511505404114114, LISINOPRIL, LISINOPRIL, 10 MG COM CT BL AL PLAS INC X 30, SDZ
77935, SOLLEVARE, NOT FOUND, CPR REVEST 100 MG x 2, E3S,507744503115412, SOLLEVARE, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 2, E3S
56839, ENERGIL C EFERVESC, NOT FOUND, CPR EF.S/ACU 2 G x 10, E3S,507712304133412, ENERGIL C, NOT FOUND, 2 G COMP EFERV C/10, E3S
57332, CAPTOTEC, NOT FOUND, CPR 25 MG x 28, SDZ,511501302112411, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 28, SDZ
64105, MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 45 MG x 28, SDZ,511515204118113, MIRTAZAPINA, MIRTAZAPINA, 45 MG COM REV CT BL AL PLAS INC X 28, SDZ
84468, RAFEX, NOT FOUND, CPR REVEST 180 MG x 10, MD7,525074005119411, RAFEX, NOT FOUND, 180 MG COM REV CT BL AL PLAS INC X 10, MD7
69614, HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, E3S,507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
64527, PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 28, SDZ,511507502113410, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, SDZ
66096, BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, GM2,526120002111110, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, GM2
79619, ALENTHUS XR, NOT FOUND, CAPS L.C. 37.5 MG x 15, MD7,525068606114411, ALENTHUS XR, NOT FOUND, 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15, MD7
78996, GLIBENCLAMIDA, GLIBENCLAMIDA, CPR SULCADO 5 MG x 30, MD7,525072903111111, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 30, MD7
63616, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 14, BF8,504601801118111, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS INC X 14, BF8
57027, CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, E3S,507730311111117, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 30, E3S
69686, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 3, GM2,526124603111118, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, GM2
79559, VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 30, E3S,507744404117115, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL AL X 30, E3S
77931, SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 4, E3S,507744509113411, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 4, E3S
59191, CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, SDZ,511509703116111, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
71600, ATENOLOL, ATENOLOL, CPR 25 MG x 30, LG6,538807602115111, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS OPC X 30, LG6
72581, DIELOFT, NOT FOUND, CPR REVEST 50 MG x 14, MD7,525069406119416, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 14, MD7
95815, RAZAPINA ODT, NOT FOUND, CPR ORODISPE 45 MG x 28, SDZ,511515604116411, RAZAPINA, NOT FOUND, 45 MG COM REV CT BL AL/PLAS INC X 28, SDZ
84455, ANGIO II, ANGIOTENSINA II, CPR REVEST 80 MG x 30, MD7,525073710110413, ANGIO II, ANGIOTENSINA II, 80 MG COM REV CT BL AL/AL X 30, MD7
69866, PEPSAMAR, NOT FOUND, CPR MASC 230 MG x 50, S_A,530503705113416, PEPSAMAR, NOT FOUND, 230 MG COM MAST CT STR CELOF OPC X 50, S_A
67097, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 60, E3S,507729104116111, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 60, E3S
68192, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 60, GM2,526114005112113, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 60, GM2
72582, DIELOFT, NOT FOUND, CPR REVEST 50 MG x 20, MD7,525069404116411, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, MD7
71616, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, SDZ,511511904115114, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, SDZ
52309, AMOXINA, NOT FOUND, CAPS 500 MG x 8, SDZ,511500502118415, AMOXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
78520, DIABEMED, NOT FOUND, CPR 1 MG x 60, GM2,526133701110417, DIABEMED, NOT FOUND, 1 MG COM CT BL AL PLAS OPC X 60, GM2
70601, FOLIFOLIN, NOT FOUND, CPR 5 MG x 30, E3S,507736701116414, FOLIFOLIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, E3S
63850, SINVASTATINA, SINVASTATINA, CPR REVEST 5 MG x 30, SDZ,511508612117117, SINVASTATINA, SINVASTATINA, 5 MG COM REV CT BL AL PLAS INC X 30, SDZ
76204, SIBUCTIL, NOT FOUND, CAPS 15 MG x 30, E3S,507741301112418, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
72245, CIZAX, NOT FOUND, CPR 10 MG x 30, MQF,512405501116419, CIZAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, MQF
76801, PRAVAST SODIC, NOT FOUND, CPR 40 MG x 30, MD7,525071203114111, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL AL X 30, MD7
