68514; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
63026; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; SDZ
78252; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; E3S
63721; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; BF8;5,05E+14; SINVASTATINA; SINVASTATINA; 40MG COM REV CT 1 BL AL PLAS INC X 10; BF8
78283; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; LG6;5,39E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; LG6
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.); MD7
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
63024; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 10; SDZ
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 10; SDZ
78252; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; E3S
78251; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; E3S
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; SDZ
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT BL AL PLAS INC X 10; MD7
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; SDZ
63027; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REVEST CT 2 BL AL PLAS INC X 30; MD7
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 10; SDZ
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; SDZ
63721; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; BF8;5,05E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; BF8
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REVEST CT 2 BL AL PLAS INC X 30; MD7
78307; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 60; GM2
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; SDZ
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
78282; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; LG6;5,39E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; LG6
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
63026; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
57810; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; E3S
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10MG COM REV CT 3BL AL PLAS INC X 10; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
63024; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT BL AL PLAS INC X 10; MD7
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
78676; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); E3S
78310; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
78310; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; GM2
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS X 10; SDZ
78306; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
78251; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; E3S
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
78676; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; E3S
63721; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; BF8;5,05E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT 1BL AL PLAS INC X 10; BF8
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; SDZ
63024; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
63027; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
71484; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 90; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10 MG 3 BL X 10 COMP; E3S
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS X 10; SDZ
78252; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); E3S
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
78306; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; GM2
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
63024; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
63027; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT BL AL PLAS INC X 10; MD7
63721; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; BF8;5,05E+14; SINVASTATINA; SINVASTATINA; 80MG COM REV CT 1 BL AL PLAS INC X 10; BF8
63026; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
78282; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; LG6;5,39E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; LG6
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
63021; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT BL AL PLAS INC X 10; MD7
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
71484; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 90; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; E3S
63849; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
78306; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 60; GM2
63026; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.); MD7
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS X 10; SDZ
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10MG COM REV CT 3BL AL PLAS INC X 10; SDZ
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
78252; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; E3S
63023; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
63852; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
78282; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; LG6;5,39E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; LG6
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10MG COM REV CT 3BL AL PLAS INC X 10; SDZ
78310; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
63026; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REVEST CT 2 BL AL PLAS INC X 30; MD7
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
78675; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10 MG 3 BL X 10 COMP; E3S
63027; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.); MD7
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
63022; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
63721; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; BF8;5,05E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30 ; BF8
78308; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 10; SDZ
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
71484; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 90; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10MG 3 BL X 10 COMP; E3S
71484; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 90; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; E3S
63021; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
63023; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
78675; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; E3S
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; SDZ
78676; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10MG 3 BL X 10 COMP; E3S
78675; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; E3S
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
63027; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
63852; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
78252; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10MG 3 BL X 10 COMP; E3S
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.); MD7
63021; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7;5,25E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REVEST CT 2 BL AL PLAS INC X 30; MD7
63851; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 5MG COM REV CT 3BL AL PLAS INC X 10; SDZ
74302; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 10MG COM REV CT 3BL AL PLAS INC X 10; SDZ
57810; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; E3S
78675; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 10MG 3 BL X 10 COMP; E3S
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS X 10; SDZ
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
78309; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 60; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
78676; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; E3S;5,08E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; E3S
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
78308; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; GM2;5,26E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; GM2
60521; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 10; SDZ
71622; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;5,12E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
