104561; CORUS ; CORUS; NOT FOUND; CPR REVEST 25 MG x 30; A4H

63000; CLOR.FEXOFENADI.MG ; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 180 MG x 10; RBY

63929; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 75 MG x 30; RBY

57492; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 30; RBY

74158; CLOR.TIZANIDINA MG ; CLOR TIZANIDINA; CLORIDRATO TIZANIDINA; CPR 2 MG x 30; RBY

58365; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 20; RBY

61945; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; RBY

70839; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 20; RBY

70840; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 20; RBY

68891; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; RBY

72458; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 75 MG x 100; RBY

61944; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 20; RBY

64481; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 30 (/50); RBY

68890; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; RBY

62424; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; RBY

68889; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; RBY

94912; CLOR.DONEPEZILA MG ; CLOR DONEPEZILA; CLORIDRATO DONEPEZILA; CPR REVEST 5 MG x 30; RBY

58989; CEFACLOR MG ; CEFACLOR; CEFACLOR; CPR 750 MG x 10; RBY

74157; CLOR.TIZANIDINA MG ; CLOR TIZANIDINA; CLORIDRATO TIZANIDINA; CPR 2 MG x 20; RBY

61555; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; SUSP ORAL 500 MG 100 ML x 1 (/5ML); RBY

58973; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; RBY

70196; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; RBY

57471; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 20; RBY

70842; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 30; RBY

68898; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; RBY

71369; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 50 MG x 30; RBY

61946; CLO MINOCICLINA MG ; CLO MINOCICLINA; CLORIDRATO MINOCICLINA; CPR REVEST 100 MG x 30; RBY

57491; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; RBY

71362; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; SOLN OFTAL 0.35 % 5 ML x 1; RBY

60955; CLO MINOCICLINA MG ; CLO MINOCICLINA; CLORIDRATO MINOCICLINA; CPR REVEST 100 MG x 9; RBY

63207; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; SUSP 250 MG 60 ML x 1 (/5ML); RBY

63209; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 28; RBY

71370; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 75 MG x 30; RBY

77014; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 10; RBY

62999; CLOR.FEXOFENADI.MG ; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 120 MG x 10; RBY

71367; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 25 MG x 20; RBY

60284; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; RBY

58972; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; RBY

71667; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 200 MG x 30; RBY

63645; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; RBY

75389; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; RBY

70203; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; RBY

70119; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 60; RBY

92726; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CPR 37.5 MG x 28; RBY

60954; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR REVEST 100 MG x 15; RBY

70202; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 30; RBY

73354; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; RBY

63932; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 42; RBY

59180; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; RBY

68900; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; RBY

57489; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; RBY

70838; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 30; RBY

55988; COREG ; COREG; NOT FOUND; CPR REVEST 12.5 MG x 14; ROC

51586; CELLCEPT ; CELLCEPT; NOT FOUND; CPR 500 MG x 50; ROC

51475; CYMEVENE ; CYMEVENE; NOT FOUND; F.AMP LIOF 500 MG 10 ML x 25; ROC

57502; COREG ; COREG; NOT FOUND; CPR REVEST 25 MG x 14; ROC

72851; COAGUCHEK S ; COAGUCHEK S; NOT FOUND; TIRAS XS TES x 6; ROC

72852; COAGUCHEK S ; COAGUCHEK S; NOT FOUND; TIRAS XS TES x 24; ROC

72853; COAGUCHEK S ; COAGUCHEK S; NOT FOUND; TIRAS XS TES x 48; ROC

55987; COREG ; COREG; NOT FOUND; CPR REVEST 6.25 MG x 14; ROC

55986; COREG ; COREG; NOT FOUND; CPR REVEST 3.12 MG x 14; ROC

62509; COLZURIC ; COLZURIC; NOT FOUND; CPR 0.50 MG x 20; ROY

57846; CAPTON ; CAPTON; NOT FOUND; CPR 12.5 MG x 30; ROY

56111; CAPTON ; CAPTON; NOT FOUND; CPR 50 MG x 28; ROY

62799; CARDIODOPA ; CARDIODOPA; NOT FOUND; CPR REVEST 500 MG x 500; ROY

49748; CARDIODOPA ; CARDIODOPA; NOT FOUND; CPR REVEST 250 MG x 30; ROY

57595; CIMEDAX ; CIMEDAX; NOT FOUND; CPR 200 MG x 20; ROY

57597; CIPROXAN ; CIPROXAN; NOT FOUND; CPR 500 MG x 14; ROY

65516; CIMEDAX ; CIMEDAX; NOT FOUND; CPR 200 MG x 500; ROY

61929; CAPTON ; CAPTON; NOT FOUND; CPR 50 MG x 800; ROY

77193; CINARIX ; CINARIX; NOT FOUND; CPR 75 MG x 500; ROY

56110; CAPTON ; CAPTON; NOT FOUND; CPR 50 MG x 16; ROY

77194; CINARIX ; CINARIX; NOT FOUND; CPR 25 MG x 500; ROY

55146; CETOZAN SHAMPOO ; CETOZAN SHAMPOO; NOT FOUND; XAMP 20 MG 100 ML x 1 (/G); ROY

55144; CETOZAN ; CETOZAN; NOT FOUND; CPR 200 MG x 20; ROY

62126; CETOZAN ; CETOZAN; NOT FOUND; CPR 200 MG x 500; ROY

55136; CAPTON ; CAPTON; NOT FOUND; CPR 25 MG x 28; ROY

55145; CETOZAN ; CETOZAN; NOT FOUND; CREME DERMAT 20 MG 30 G x 1 (/G); ROY

55137; CAPTON ; CAPTON; NOT FOUND; CPR 25 MG x 800; ROY

57697; CINARIX ; CINARIX; NOT FOUND; CPR 75 MG x 30; ROY

55135; CAPTON ; CAPTON; NOT FOUND; CPR 25 MG x 16; ROY

49749; CARDIODOPA ; CARDIODOPA; NOT FOUND; CPR REVEST 500 MG x 30; ROY

57696; CINARIX ; CINARIX; NOT FOUND; CPR 25 MG x 30; ROY

62866; CARDIODOPA ; CARDIODOPA; NOT FOUND; CPR REVEST 250 MG x 500; ROY

73357; COLZURIC ; COLZURIC; NOT FOUND; CPR 0.50 MG x 500; ROY

77966; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 16 MG x 30; SDZ

59193; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR RET.REVE 240 MG x 30; SDZ

74626; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 50 MG x 30; SDZ

72610; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; SDZ

74627; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 25 MG x 60; SDZ

59701; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 30; SDZ

57964; CIPROBIOT ; CIPROBIOT; NOT FOUND; CPR 500 MG x 14; SDZ

60273; CO-ENAPROTEC ; CO ENAPROTEC; NOT FOUND; CPR 20 MG x 30 (/12); SDZ

68119; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 20; SDZ

64490; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; SDZ

78000; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; SDZ

161193; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 16 MG x 30 (/12.); SDZ

61285; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; SDZ

57593; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 50 MG x 28; SDZ

73720; COR MIO ; COR MIO; NOT FOUND; CPR BLISTER 200 MG x 30; SDZ

61908; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 6; SDZ

74505; CLAXAM ; CLAXAM; NOT FOUND; CPR REVEST 875 MG x 14 (/125); SDZ

72611; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; SDZ

63194; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; SDZ

64491; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; SDZ

78003; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; SDZ

68185; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 8; SDZ

58503; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.AMP C/DILU 500 MG 2 ML x 1; SDZ

59567; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS 50 MG x 10; SDZ

77238; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; SDZ

90883; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; XAMPU 20 MG 100 ML x 1 (/1G); SDZ

72612; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 30; SDZ

73061; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 10; SDZ

72460; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; SDZ

78619; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; SDZ

90894; CLOXAZOLAM MG ; CLOXAZOLAM; CLOXAZOLAM; CPR 2 MG x 30; SDZ

62911; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.IV SOLV 1 G 10 ML x 1; SDZ

59168; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; SDZ

59165; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 16 (/25); SDZ

59700; CLARILERG ; CLARILERG; NOT FOUND; CPR BLISTER 10 MG x 12; SDZ

71844; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 25 MG x 30; SDZ

58505; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 10; SDZ

52319; CINTAG ; CINTAG; NOT FOUND; CPR 200 MG x 20; SDZ

78001; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; SDZ

63173; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; SDZ

63540; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; SDZ

58509; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; SDZ

59197; CLOR SOTALOL MG ; CLOR SOTALOL; CLORIDRATO SOTALOL; CPR 160 MG x 20; SDZ

59192; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVES.AP 120 MG x 20; SDZ

68563; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; SDZ

71609; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; SDZ

68564; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; SDZ

77965; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 8 MG x 30; SDZ

65456; CEFUROXIMA SOD.MG ; CEFUROXIMA SOD; CEFUROXIMA SODICA; F.AMP C/DILU 750 MG 6 ML x 1; SDZ

70204; CARDBLOC ; CARDBLOC; NOT FOUND; CPR 40 MG x 30; SDZ

57962; CIPROBIOT ; CIPROBIOT; NOT FOUND; CPR 250 MG x 6; SDZ

62910; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.IV SOLV 500 MG 5 ML x 1; SDZ

59696; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 40; SDZ

79975; CLOR.DONEPEZILA MG ; CLOR DONEPEZILA; CLORIDRATO DONEPEZILA; CPR REVEST 10 MG x 30; SDZ

71845; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 200; SDZ

62892; CETIHEXAL ; CETIHEXAL; NOT FOUND; CPR REVEST 10 MG x 6; SDZ

78002; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; SDZ

68765; CETOHEXAL ; CETOHEXAL; NOT FOUND; CPR BLISTER 200 MG x 30; SDZ

74504; CLAXAM ; CLAXAM; NOT FOUND; CPR REVEST 875 MG x 20 (/125); SDZ

64492; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 25 MG x 56; SDZ

58504; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.AMP C/DILU 1 G 3.50 ML x 1; SDZ

63193; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; SDZ

60267; CO-ENAPROTEC ; CO ENAPROTEC; NOT FOUND; CPR 10 MG x 30 (/25); SDZ

64862; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; SDZ

59698; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; SDZ

59057; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR 250 MG x 10; SDZ

59695; CETOHEXAL ; CETOHEXAL; NOT FOUND; CPR BLISTER 200 MG x 10; SDZ

58507; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 250 MG 100 ML x 1 (/5ML); SDZ

62891; CETIHEXAL ; CETIHEXAL; NOT FOUND; CPR REVEST 10 MG x 12; SDZ

57963; CIPROBIOT ; CIPROBIOT; NOT FOUND; CPR 500 MG x 6; SDZ

57332; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 25 MG x 28; SDZ

78004; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; SDZ

59356; COR MIO ; COR MIO; NOT FOUND; CPR BLISTER 200 MG x 20; SDZ

59181; CITR.TAMOXIFENO MG ; CITR TAMOXIFENO; CITRATO TAMOXIFENO; CPR REVEST 10 MG x 30; SDZ

58508; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 500 MG 100 ML x 1 (/5ML); SDZ

59058; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR 500 MG x 10; SDZ

70208; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 20; SDZ

63192; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; SDZ

59690; CAPTOTEC HCT ; CAPTOTEC HCT; NOT FOUND; CPR BLISTER 50 MG x 30 (/25); SDZ

102526; CETOPROX ; CETOPROX; NOT FOUND; SHAMPOO 20 MG 100 ML x 1 (/G); SDZ

59191; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; SDZ

59166; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); SDZ

79974; CLOR.DONEPEZILA MG ; CLOR DONEPEZILA; CLORIDRATO DONEPEZILA; CPR REVEST 5 MG x 30; SDZ

61907; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; SDZ

90891; CLOXAZOLAM MG ; CLOXAZOLAM; CLOXAZOLAM; CPR 1 MG x 30; SDZ

71846; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 40; SDZ

59699; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; SDZ

74153; CLAXAM ; CLAXAM; NOT FOUND; SUSP 457 MG 70 ML x 1 (/5ML); SDZ

58506; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; SDZ

62787; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; SDZ

57331; CAPTOTEC ; CAPTOTEC; NOT FOUND; CPR 12.5 MG x 30; SDZ

68565; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; SDZ

59182; CITR.TAMOXIFENO MG ; CITR TAMOXIFENO; CITRATO TAMOXIFENO; CPR REVEST 20 MG x 30; SDZ

110546; CALICIDA STA.TEREZ ; CALICIDA STA TEREZ; NOT FOUND; LIQ 10 ML x 1; SEZ

147027; CALICIDA STA.TEREZ ; CALICIDA STA TEREZ; NOT FOUND; SOL 15 ML x 1; SEZ

132939; CALCIFERRIN ; CALCIFERRIN; NOT FOUND; LIQ SUSPENSI 200 ML x 1; SEZ

28878; CICLOVULON ; CICLOVULON; NOT FOUND; CPR x 21; SNV

69319; CONVULSAN ; CONVULSAN; NOT FOUND; CPR 200 MG x 500; SNV

46923; CIMETIVAL ; CIMETIVAL; NOT FOUND; CPR 200 MG x 40; SNV

49822; CONVULSAN ; CONVULSAN; NOT FOUND; CPR 200 MG x 20; SNV

75740; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; SNV

75229; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; SNV

52858; CINAZON ; CINAZON; NOT FOUND; CPR 25 MG x 30; SNV

120344; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 500; SNV

52859; CINAZON ; CINAZON; NOT FOUND; CPR 75 MG x 30; SNV

73216; CIMETIVAL ; CIMETIVAL; NOT FOUND; CPR 200 MG x 500; SNV

72789; CINAZON ; CINAZON; NOT FOUND; CPR 75 MG x 500; SNV

74880; CINAZON ; CINAZON; NOT FOUND; CPR 25 MG x 500; SNV

73419; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 20; SNV

74758; CLINDOXYL ; CLINDOXYL; NOT FOUND; GEL. 45 G x 1; STF

112078; CLARIDERM PROFESSI ; CLARIDERM PROFESSI; NOT FOUND; G C CLAR F18 60 G x 1; STF

50225; CETONIL SHAMPOO ; CETONIL SHAMPOO; NOT FOUND; XAMP 2 % 100 ML x 1; STF

62604; CLINDOXYL ; CLINDOXYL; NOT FOUND; GEL. 30 G x 1; STF

54476; CETONIL ; CETONIL; NOT FOUND; CREME 2 % 30 G x 1; STF

59183; CLARIPEL ACQUAGEL ; CLARIPEL ACQUAGEL; NOT FOUND; GEL. 4 % 30 G x 1; STF

112614; CLINDO P A ; CLINDO P A; NOT FOUND; SABAO 100 G x 1; STF

94535; CLINDOXYL CONTROL ; CLINDOXYL CONTROL; NOT FOUND; GEL 10 % 45 G x 1; STF

58830; CLARIDERM ; CLARIDERM; NOT FOUND; GEL. 30 G x 1; STF

74059; CLARIDERM CLEAR ; CLARIDERM CLEAR; NOT FOUND; CR SER FPS18 30 G x 1; STF

69224; CLARIDERM ; CLARIDERM; NOT FOUND; CR.ANT/SINAI 30 G x 1; STF

53035; CLARIPEL ; CLARIPEL; NOT FOUND; CREME 4 % 30 G x 1; STF

137603; CLINDO P A ; CLINDO P A; NOT FOUND; LOC DAY F20 50 ML x 1; STF

49141; CALCI-PED ; CALCI PED; NOT FOUND; SUSP 250 ML x 1; STF

52736; CLINAGEL ; CLINAGEL; NOT FOUND; GEL. 10 MG 45 G x 1 (/G); STF

137601; CLINDO P A ; CLINDO P A; NOT FOUND; MOUSSE CLEAN 60 G x 1; STF

94534; CLINDOXYL CONTROL ; CLINDOXYL CONTROL; NOT FOUND; GEL 5 % 45 G x 1; STF

52185; CLARIDERM ; CLARIDERM; NOT FOUND; CREME 2 % 30 G x 1; STF

159380; CLINDO P A ; CLINDO P A; NOT FOUND; SAB LIQ FAC 60 ML x 1; STF

76242; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 9 % 10 ML x 200; STT

75285; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 20 % 10 ML x 200; STT

75284; CLORETO DE POTASIO ; CLORETO POTASIO; NOT FOUND; A.IV 19.1 % 10 ML x 200; STT

76833; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 20 % 20 ML x 200; STT

154126; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ 10 % 10 ML x 200; STT

137879; CLORETO DE POTASIO ; CLORETO POTASIO; NOT FOUND; F.A INJ 10 ML x 100; STT

52190; COVERSYL ; COVERSYL; NOT FOUND; CPR 4 MG x 30; SVR

57710; COVERSYL ; COVERSYL; NOT FOUND; CPR 4 MG x 14; SVR

69349; COVERSYL PLUS ; COVERSYL PLUS; NOT FOUND; CPR 1.25 MG x 30 (/4); SVR

72461; COVERSYL ; COVERSYL; NOT FOUND; CPR 4 MG x 15; SVR

70229; COVERSYL ; COVERSYL; NOT FOUND; CPR 8 MG x 30; SVR

69655; CEPACOL ; CEPACOL; NOT FOUND; SOLN FLURO 600 ML x 1; S_A

53327; CALCIGENOL B12 ; CALCIGENOL B12; NOT FOUND; LIQD 300 ML x 1; S_A

54589; COLTRAX ; COLTRAX; NOT FOUND; CPR 4 MG x 20; S_A

77655; CEPACOL ; CEPACOL; NOT FOUND; SOL CAN PO. 250 ML x 1; S_A

78257; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 20 MG 0.20 ML x 10; S_A

72546; CEPACOL ; CEPACOL; NOT FOUND; KIT1X1 FL/TO 300 ML x 1; S_A

77656; CEPACOL ; CEPACOL; NOT FOUND; SOL COOL ICE 250 ML x 1; S_A

74322; CEPACOL ; CEPACOL; NOT FOUND; SOL TEEN 300 ML x 1; S_A

52735; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 100 MG 1 ML x 2; S_A

77661; CEPACOL ; CEPACOL; NOT FOUND; SOLN TRADIC 250 ML x 1; S_A

73547; CLO PROMETAZINA MG ; CLO PROMETAZINA; CLORIDRATO PROMETAZINA; CPR REVEST 25 MG x 20; S_A

48537; CEPACAINA ; CEPACAINA; NOT FOUND; SOLN 100 ML x 1; S_A

70291; CEPACOL ; CEPACOL; NOT FOUND; KIT1X1FL/P/E 300 ML x 1; S_A

66490; CONTRATHION ; CONTRATHION; NOT FOUND; F.AMP 200 MG x 10; S_A

95227; CEPACOL ; CEPACOL; NOT FOUND; K MENTA600ML 350 ML x 1; S_A

49865; CEPACAINA ; CEPACAINA; NOT FOUND; SPRAY 50 ML x 1; S_A

77657; CEPACOL ; CEPACOL; NOT FOUND; SOLN EXTR 250 ML x 1; S_A

56121; CEWIN ; CEWIN; NOT FOUND; CPR EFE LARA 500 MG x 10; S_A

56391; CEPACOL ; CEPACOL; NOT FOUND; SOLN JUNIOR 300 ML x 1; S_A

74769; CEPACOL ; CEPACOL; NOT FOUND; KIT MENT+EST 300 ML x 1; S_A

63774; CLEXANE ; CLEXANE; NOT FOUND; SER.PRE-ENCH 20 MG 0.20 ML x 2; S_A

79887; CEPACOL ; CEPACOL; NOT FOUND; K DUO TRAD 250 ML x 1; S_A

2658; COLTRAX ; COLTRAX; NOT FOUND; CPR 4 MG x 12; S_A

